Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Nebraska,Nursing home/long term care facility,,305,12,0,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Nebraska,Other,,164,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Nebraska,Total - All Places of Death,48,"1,434",99,20,0,127,
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Nebraska,"Healthcare setting, inpatient",32,451,63,15,0,80,
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Nebraska,"Healthcare setting, outpatient or emergency room",,68,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Nebraska,Decedent's home,,411,13,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Nebraska,Hospice facility,,43,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Nebraska,Nursing home/long term care facility,,321,10,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Nebraska,Other,,139,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Nebraska,Total - All Places of Death,145,"1,589",165,78,0,232,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Nebraska,"Healthcare setting, inpatient",100,483,123,66,0,157,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Nebraska,"Healthcare setting, outpatient or emergency room",,96,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Nebraska,Decedent's home,21,460,17,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Nebraska,Hospice facility,,43,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Nebraska,Nursing home/long term care facility,,341,12,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Nebraska,Other,,165,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Nebraska,Total - All Places of Death,186,"1,629",180,94,,273,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Nebraska,"Healthcare setting, inpatient",133,536,139,84,,189,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Nebraska,"Healthcare setting, outpatient or emergency room",,84,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Nebraska,Decedent's home,14,436,13,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Nebraska,Hospice facility,,41,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Nebraska,Nursing home/long term care facility,26,385,20,,0,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Nebraska,Other,,143,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Nebraska,Total - All Places of Death,259,"1,805",214,139,,336,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Nebraska,"Healthcare setting, inpatient",181,578,159,115,,227,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Nebraska,"Healthcare setting, outpatient or emergency room",,91,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Nebraska,Decedent's home,37,504,23,13,0,47,
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Nebraska,Hospice facility,,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Nebraska,Nursing home/long term care facility,23,399,20,,0,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Nebraska,Other,,179,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Nebraska,Total - All Places of Death,262,"1,764",229,131,0,360,
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Nebraska,"Healthcare setting, inpatient",179,613,171,112,0,238,
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Nebraska,"Healthcare setting, outpatient or emergency room",19,109,10,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Nebraska,Decedent's home,25,488,22,,0,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Nebraska,Hospice facility,,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Nebraska,Nursing home/long term care facility,32,349,20,,0,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Nebraska,Other,,156,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Nebraska,Total - All Places of Death,342,"1,925",306,201,,449,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Nebraska,"Healthcare setting, inpatient",270,698,251,179,,344,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Nebraska,"Healthcare setting, outpatient or emergency room",,86,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Nebraska,Decedent's home,32,519,24,12,0,44,
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Nebraska,Hospice facility,0,41,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Nebraska,Nursing home/long term care facility,22,406,18,,0,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Nebraska,Other,,174,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Nebraska,Total - All Places of Death,390,"2,049",299,196,10,500,
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Nebraska,"Healthcare setting, inpatient",260,703,232,169,,327,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Nebraska,"Healthcare setting, outpatient or emergency room",11,102,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Nebraska,Decedent's home,44,562,28,14,,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Nebraska,Hospice facility,,52,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Nebraska,Nursing home/long term care facility,50,412,32,,,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Nebraska,Other,19,217,,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Nebraska,Total - All Places of Death,274,"1,657",207,128,,357,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Nebraska,"Healthcare setting, inpatient",173,542,162,111,,225,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Nebraska,"Healthcare setting, outpatient or emergency room",10,86,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Nebraska,Decedent's home,26,425,14,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Nebraska,Hospice facility,,53,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Nebraska,Nursing home/long term care facility,51,390,18,,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Nebraska,Other,10,159,,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Nebraska,Total - All Places of Death,89,"1,546",123,40,,177,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Nebraska,"Healthcare setting, inpatient",52,479,98,33,,121,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Nebraska,"Healthcare setting, outpatient or emergency room",0,63,0,0,0,0,
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Nebraska,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Nebraska,Decedent's home,12,409,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Nebraska,Hospice facility,,61,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Nebraska,Nursing home/long term care facility,17,359,12,,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Nebraska,Other,,175,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Nebraska,Total - All Places of Death,30,"1,406",99,10,,124,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Nebraska,"Healthcare setting, inpatient",,396,75,,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Nebraska,"Healthcare setting, outpatient or emergency room",0,86,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Nebraska,Decedent's home,,377,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Nebraska,Hospice facility,,57,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Nebraska,Nursing home/long term care facility,,324,12,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Nebraska,Other,,164,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Nebraska,Total - All Places of Death,35,"1,462",86,10,,113,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Nebraska,"Healthcare setting, inpatient",,434,54,,,58,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Nebraska,"Healthcare setting, outpatient or emergency room",,65,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Nebraska,Decedent's home,,391,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Nebraska,Hospice facility,,65,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Nebraska,Nursing home/long term care facility,13,327,17,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Nebraska,Other,,178,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2022,05/31/2022,By Month,2022,5,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,Total - All Places of Death,46,"1,324",66,10,,103,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,"Healthcare setting, inpatient",15,362,42,,0,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,"Healthcare setting, outpatient or emergency room",,91,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,Decedent's home,,373,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,Hospice facility,,41,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,Nursing home/long term care facility,17,321,14,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,Other,,135,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Total - All Places of Death,71,"1,510",70,11,,133,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,"Healthcare setting, inpatient",25,441,44,,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,"Healthcare setting, outpatient or emergency room",0,71,0,0,0,0,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,"Healthcare setting, dead on arrival",0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Decedent's home,13,409,,0,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Hospice facility,,60,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Nursing home/long term care facility,23,356,11,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Other,,170,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Total - All Places of Death,64,"1,477",76,21,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,"Healthcare setting, inpatient",29,412,48,14,0,63,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,"Healthcare setting, outpatient or emergency room",0,62,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Decedent's home,15,432,11,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Hospice facility,0,56,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Nursing home/long term care facility,15,339,14,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Other,,176,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Total - All Places of Death,58,"1,454",76,16,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,"Healthcare setting, inpatient",23,391,57,14,0,66,
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,"Healthcare setting, outpatient or emergency room",,89,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Decedent's home,,407,,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Hospice facility,,50,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Nursing home/long term care facility,14,337,,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Other,10,179,,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Total - All Places of Death,45,"1,603",78,,,115,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,"Healthcare setting, inpatient",17,480,59,,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,"Healthcare setting, outpatient or emergency room",,75,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Decedent's home,,473,,0,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Hospice facility,0,55,0,0,0,0,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Nursing home/long term care facility,14,352,12,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Other,,168,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Total - All Places of Death,91,"1,543",97,31,,161,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,"Healthcare setting, inpatient",44,464,71,22,,94,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,"Healthcare setting, outpatient or emergency room",,84,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Decedent's home,12,402,,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Hospice facility,,51,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Nursing home/long term care facility,30,374,11,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Other,,168,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Total - All Places of Death,103,"1,764",130,31,38,236,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,"Healthcare setting, inpatient",46,543,97,24,28,144,
